# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.9011628	1.1243523	1.1530287	0.93053174
2	1.0992907	1.1767896	1.2962962	1.4447403
3	0.75294936	1.0284361	1.2932062	1.3345634
4	1.2191011	1.1128205	1.3264059	1.2885985
6	1.4054404	0.72672474	1.2978469	1.2690059
8	1.4146024	0.7242991	1.09375	1.1278586
10	1.3892446	0.8213475	1.1481482	1.2528869
12	1.3495024	0.7772206	1.244266	1.2177329
14	1.169181	0.7614035	1.2273755	1.0372849
16	1.0658153	0.6420118	1.0595703	0.95008755
20	0.97309417	0.45994064	0.9534271	0.8456742
24	0.7370924	0.43124005	0.8543307	0.7800144
28	0.63450295	0.42465752	0.7451923	0.7355932
32	0.6017748	0.37990198	0.73459715	0.69417787
