# Benchmark LUD (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	1.1379606	1.3181142	1.4142705	1.1423656
2	1.5477855	2.1593497	2.489222	2.0962903
3	1.6799494	1.6757097	2.3359718	2.0415065
4	1.799458	1.1244708	2.2244556	2.0913386
6	2.1029296	0.87053424	2.0621119	2.2470388
8	2.2916307	0.70751196	2.0929866	2.3380282
10	2.4300091	0.6732573	1.9572587	2.4411764
12	2.482243	0.6155272	2.4684014	2.4233577
14	2.2451394	0.504847	1.7861466	1.9344501
16	2.0996048	0.5215001	1.9066763	1.8651686
20	1.9107914	0.45124024	1.5800118	1.7577763
24	1.6224802	0.38813385	1.0783597	1.4310344
28	1.3142009	0.3793202	1.5308357	1.5116676
32	0.8248447	0.4050633	1.1473002	1.4641676
