# Benchmark LUD (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.95548713	0.86291593	0.9696988	0.9749729
2	1.7948747	1.0214916	1.7838054	1.8449236
3	2.1971407	0.74937904	1.674734	2.2801135
4	2.0426214	0.93447953	2.2455971	2.704938
6	2.5523596	0.74437284	3.3561747	3.443512
8	3.4246297	0.9309484	3.885173	4.2405396
10	4.0028577	0.8759827	4.2392564	4.903926
12	4.520076	0.8350636	4.5410085	5.1431417
14	4.7917705	0.6833841	4.4572024	5.367528
16	4.8046846	0.6495148	4.6861978	5.5652423
20	4.727772	0.59875554	4.7835884	5.411369
24	4.393691	0.5094985	5.227595	5.6265564
28	5.4840045	0.6244046	5.8560677	4.9627495
32	5.5570416	0.55766684	6.504411	5.1776323
