# Benchmark LUD (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.9489264	1.0923376	1.0773115	1.0014567
2	1.6807933	1.5541321	1.5799285	1.3383085
3	1.6835374	1.2616231	1.5208948	1.460576
4	1.6959978	1.4187113	1.4741482	1.5615851
6	1.8122437	1.033751	1.4455607	2.053435
8	2.0609593	1.0159278	1.4808521	2.2303534
10	2.3303201	0.98739225	1.5722998	2.4253235
12	2.405521	0.83994025	1.6273015	2.2671309
14	2.2033477	0.9305159	1.7224388	2.277144
16	2.1246567	0.8091813	1.550238	2.1497567
20	2.0094187	0.7479449	1.4285384	2.053435
24	1.7403656	0.69012827	1.1999612	1.744291
28	2.0650868	0.7289114	1.2227273	1.8022138
32	1.9874719	0.60196537	1.0170969	1.7262834
