# Benchmark LUD (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.95301807	1.0837682	1.0394503	0.6221816
2	1.3721582	1.5971842	1.6552283	1.1093806
3	1.5936525	1.2248325	1.5152115	1.4475425
4	1.754798	0.90101486	1.4509711	1.6653527
6	2.150983	0.77701676	1.7341826	2.0797827
8	2.5826306	0.99464196	1.7970079	2.8055873
10	2.9644327	0.91850966	2.1248698	2.919228
12	2.7763426	1.0352345	2.3684516	3.2515924
14	3.084592	1.1336048	2.5152946	3.0830398
16	2.9985316	0.96761966	2.1307826	3.0081022
20	3.0155058	0.9748568	2.4141872	3.2820787
24	2.619068	0.7128644	1.896888	3.0753012
28	2.651374	0.89751667	2.0443852	2.794708
32	3.2404125	0.9471975	1.8479638	2.7046359
