# Benchmark LUD (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.96999526	0.86659163	0.99533504	0.9872356
2	1.8344563	0.7692724	1.7990322	1.8755411
3	2.5739686	0.5721581	1.6596856	2.686594
4	3.1077688	0.55788416	2.5080624	3.4754343
6	3.4961085	0.36632434	4.07118	4.015465
8	3.8486392	0.22577213	4.8724403	4.3024726
10	4.473269	0.23350698	5.3555236	4.7802453
12	4.8945518	0.22517595	5.7500734	5.256145
14	5.2177243	0.1434778	5.768661	5.514552
16	5.536483	0.11289249	6.2018895	6.0178423
20	5.6317887	0.060728364	6.303054	6.0740786
24	5.357716	0.020684374	6.5136714	5.6337285
28	5.850675	0.011303595	7.280739	6.063197
32	6.722696	0.009566479	7.8963757	6.9727197
