# Benchmark LUD (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.9315802	0.90480316	0.99305385	0.5821275
2	1.3532792	1.1377007	1.7234501	1.2855537
3	1.7734623	0.8678904	1.5410972	1.5241781
4	2.0573926	1.0044749	1.6642184	1.9619343
6	2.4832506	0.94280666	2.525552	2.5378275
8	2.8022401	1.0918266	2.585639	2.836325
10	3.236055	1.061616	2.764821	3.3474565
12	3.6871355	0.9985449	2.7228205	3.7575095
14	3.6507068	0.8766973	2.5895417	3.6843073
16	3.7358842	0.80814266	2.9943898	3.7231438
20	3.7758214	0.7560914	2.7120597	3.84411
24	3.2282257	0.78142893	2.8951302	3.6473804
28	3.6003597	0.8511287	2.733356	3.763397
32	3.9002924	0.90599775	2.7587872	3.7907197
