# Benchmark LU (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.87583226	0.9579144	0.9866087
2	1.7121624	1.7883928	1.9021449
3	2.442201	2.501695	2.6421115
4	3.18336	3.3286445	3.4153266
6	4.3809237	4.533264	4.7691126
8	5.1792555	5.955683	5.3695893
10	5.4109607	5.257426	5.82268
12	5.547458	4.9255657	5.198424
14	4.9790735	3.8762574	5.5005054
16	4.9161115	2.7886512	5.029687
20	5.4977274	5.333415	6.0082793
24	4.9372945	5.551702	5.9859776
