# Benchmark LU (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.8778055	0.9267222	0.9561753
2	1.6518067	1.5832084	1.8203758
3	2.2368143	1.8545837	2.4800377
4	2.8525121	3.562753	2.8617885
6	3.8723872	2.5569007	4.0075903
8	4.5419354	4.77396	4.739677
10	4.6519823	3.29588	4.95542
12	4.7037864	3.1835997	4.969412
14	4.676705	2.714653	4.6437993
16	4.4651165	2.685656	4.904784
20	4.7375503	3.0511413	4.94382
24	4.144427	3.008547	3.5412474
