# Benchmark LU (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.869338	1.1686183	0.90235084
2	1.2632911	1.1713614	1.3131579
3	1.4463768	1.296104	1.5306748
4	1.363388	1.3746556	1.3938547
6	1.5993589	1.2894057	1.630719
8	1.5642633	1.2794871	1.5448916
10	1.4135977	0.99007934	1.1604651
12	0.6245307	0.96146435	1.0919037
14	1.1015452	0.90235084	1.0483193
16	0.72109824	0.9172794	0.89587075
20	0.8559177	0.9172794	0.8035427
24	0.66533333	0.8443316	0.67615175
