# Benchmark LU (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.87364453	0.9855945	0.98739475
2	1.707348	1.8289372	1.9066229
3	2.4991438	2.5749779	2.7476234
4	3.2596962	3.4115698	3.5797498
6	4.5270095	4.8587995	4.9625998
8	5.427642	6.248216	5.7900825
10	5.8019743	5.3816137	6.5850816
12	5.6101856	4.809435	6.2647543
14	5.4840627	4.616013	5.851988
16	4.662461	5.004286	5.174604
20	6.476483	4.3161654	6.748998
24	6.352459	4.433055	6.8375235
