# Benchmark LU (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.89368826	0.93797225	0.9649313
2	1.6849748	1.8908962	1.8243335
3	2.0219698	1.7415987	2.3320227
4	2.4197643	2.5862403	2.4230595
6	3.177381	3.141848	3.443871
8	3.9365783	3.5539281	3.9746835
10	3.8793604	2.9121659	3.9394834
12	3.5095332	2.2475789	3.8155825
14	3.7407148	1.718056	3.628824
16	3.6387184	1.8033783	3.31347
20	3.443871	1.7224911	3.2628362
24	3.1107225	1.7303079	2.7096446
