# Benchmark LU (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.8771379	0.9792434	0.99023217
2	1.6727551	1.7993891	1.890373
3	2.3525095	2.4166758	2.559117
4	3.1763334	3.182827	3.4383972
6	4.4418178	3.6008592	4.283805
8	5.2583838	6.669523	5.314801
10	4.811479	3.901199	4.6994395
12	4.6522946	4.0221443	4.7568746
14	4.068695	3.9428365	4.2930865
16	4.4554377	3.5637672	4.404122
20	5.4462767	3.709326	5.3803997
24	4.0664177	5.0198064	5.6657133
