# Benchmark LUD (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.917743	1.1931065	1.1311269	0.9319986
2	1.5340909	1.8392371	1.6014235	1.6109785
3	2.0470054	2.3336215	2.0657995	2.1651964
4	2.5186567	2.6785715	2.4907749	2.6470587
6	3.1877213	3.0371203	2.9540482	3.2490976
8	3.4749036	3.2104638	2.9834254	3.6784742
10	3.2846715	2.395741	1.6635859	3.0681818
12	2.8907924	2.452316	1.5058562	3.0033371
14	3.1177828	2.3295944	1.347978	2.9508197
16	3.125	2.4346259	1.2747875	2.9094827
20	2.878465	2.255639	1.1166253	2.7466938
24	2.5568182	2.2651007	0.9291122	2.4215248
