# Benchmark LUD (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.88784444	1.1931635	1.1317843	0.97721124
2	1.7420288	1.1121001	1.9239782	1.9044962
3	2.5096529	1.5245547	2.8079276	2.7470772
4	3.272295	1.8863072	3.7494485	3.6032913
6	4.6265407	2.3175986	5.396191	5.093761
8	5.8983674	2.5744061	7.0527086	6.474946
10	6.249081	2.1891031	7.389926	6.9055433
12	6.628899	2.314011	7.3188148	7.244214
14	6.8934646	2.0852313	7.607124	7.6057897
16	6.9281664	2.081477	7.465002	7.840311
20	7.514169	1.9929206	7.889536	8.405817
24	8.112463	2.0042531	7.986184	8.886543
