# Benchmark LUD (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	1.0479639	1.3720379	1.2967526	1.0842696
2	1.9794872	2.0531914	2.2840238	2.0531914
3	2.4796574	0.5015158	2.6993008	2.662069
4	3.055409	0.48189762	2.7571428	3.1382115
6	3.7115386	1.8178964	2.302187	3.664557
8	4.0918727	1.5157068	2.0827339	3.7597404
10	3.630094	1.1102588	1.0792172	2.9768639
12	3.3371758	1.2996633	1.0903955	2.7903614
14	2.946565	1.2809734	0.9271417	2.6682029
16	2.8877807	1.3279817	0.8853211	2.7769785
20	2.6743648	0.9271417	0.8052851	2.6318183
24	1.8768233	1.4789273	1.282392	2.1365314
