# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.8964941	1.1596075	1.0981206	0.94638497
2	1.7301075	1.3802046	1.8540152	1.8354685
3	2.4265661	2.0367088	2.6467164	2.6350467
4	3.2580998	2.5271235	3.5853617	3.5013392
6	4.37869	3.4127917	4.8531322	4.7216706
8	5.702563	4.078978	6.273845	6.103589
10	5.6092787	3.6485262	4.858769	6.1125073
12	5.6979027	3.5725021	4.9472566	6.139419
14	5.855823	3.218	4.847509	6.258827
16	5.9848356	2.8140724	4.956635	6.381025
20	6.2234454	3.005316	5.5175414	6.5756054
24	6.2965083	2.7759788	5.5526943	6.7149277
