# Benchmark LUD (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.90194565	1.1659834	1.1017694	0.9523077
2	1.724234	1.4249153	1.8651187	1.8487351
3	2.362065	2.464403	2.532002	2.5271373
4	3.2468374	2.8774953	3.6037672	3.5006654
6	4.1363993	2.7297018	4.565293	4.508569
8	4.956665	1.6937068	5.1608634	5.390881
10	5.0421658	1.8099415	4.1592884	5.3254046
12	5.186299	1.8168163	3.796176	5.399179
14	5.32002	1.8040459	4.0802636	5.495039
16	5.4608197	2.057685	4.177451	5.6182594
20	5.6122665	2.2158349	4.3447566	5.6666665
24	5.29859	2.1449246	4.169176	5.544257
