# Benchmark LUD (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.91261333	1.2162162	1.1584345	0.99371636
2	1.7803152	2.1263926	1.9448348	1.9489436
3	2.3256302	1.8505516	2.5227895	2.558946
4	2.959893	1.4740347	3.1377552	3.1342015
6	3.8951442	1.6717004	4.072848	4.1647854
8	4.647355	2.5170531	4.251152	4.950805
10	4.5857496	2.1206896	3.1646655	4.6086593
12	4.647355	2.6344597	2.860465	4.631799
14	4.698642	2.1321263	2.831202	4.6125
16	4.597176	2.299543	2.7578475	4.6434565
20	4.6086593	1.9007555	2.3583298	4.442215
24	4.124441	1.7510282	2.1117895	4.0668626
