# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.920434	1.2206235	1.1311111	0.8730703
2	1.4753623	1.5103858	1.4626436	1.4297752
3	1.785965	1.556575	1.7080537	1.8178571
4	2.0691056	1.3682796	1.4883041	1.9805448
6	2.1659575	1.1463964	1.2886076	2.0691056
8	1.8576642	1.1261061	1.0604167	1.7612457
10	1.6910299	0.65932643	0.49131274	1.3907104
12	1.5103858	0.7419825	0.4488536	1.4584527
14	1.2235577	0.7452416	0.4429939	1.4178272
16	1.4022038	0.7965571	0.40396824	1.2536945
20	1.2354369	0.7169014	0.37759644	1.1647598
24	0.94609666	1.2119048	0.49226305	1.1438202
