# Benchmark LU (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	2.354892	5.515709	2.8640735
2	4.5723104	10.604935	5.6785407
3	6.5757136	15.051889	8.243508
4	7.9511414	19.743662	10.029852
6	10.471179	25.736206	12.096943
8	13.98951	29.488527	15.685072
10	17.599953	30.575409	18.77677
12	19.729282	31.819063	20.504591
14	20.72836	35.722057	22.952688
16	22.961391	41.192142	24.96239
20	22.960367	39.656162	23.31342
24	21.674505	41.731483	26.566385
28	22.036388	42.33905	27.24918
32	25.5681	47.94495	25.420994
