# Benchmark LU (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	2.2815201	5.541316	2.881403
2	4.4816914	10.3761835	5.627286
3	6.270011	13.618177	7.815888
4	7.4643116	15.977758	9.392094
6	9.458908	19.807453	10.928206
8	11.257144	21.348522	12.312409
10	13.074621	21.76536	14.300028
12	14.960576	23.104122	16.22994
14	18.726719	25.739338	17.653572
16	20.181513	41.368633	20.782385
20	19.496853	27.895157	25.435555
24	18.968462	28.24398	24.144897
28	19.20297	28.145617	24.598469
32	21.46369	26.059654	20.762363
