# Benchmark Sum array (n = 134,218,962)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Naive	Naive (pinned)	Work stealing	Our	Our (specialized loop)
1	0.9035348	0.9510401	1.0144329	0.9294199	0.9856609	1.0065222
2	1.6077083	1.6215632	1.844918	1.7077	1.8559239	1.781367
3	2.2145085	2.1884425	2.6145244	2.3724859	2.5707984	2.484189
4	2.9603457	2.7512243	3.0631154	2.8088198	2.9601214	2.9327724
6	3.524145	3.5965364	4.3403926	3.8716843	3.9792092	3.89719
8	3.8006425	3.9438384	5.034363	4.6919427	4.865599	4.771064
10	4.245759	4.0049233	4.4690666	4.958913	5.0851784	5.007246
12	4.381797	4.0193534	4.645054	5.0848475	5.2103825	5.1306176
14	4.716883	4.0280614	5.2017055	5.282284	5.278356	5.348493
16	4.7412267	4.1903944	5.4088798	5.298053	5.191676	5.3532596
20	5.108131	4.33461	4.1890454	5.1563654	5.297334	5.2991314
24	5.087829	4.67285	4.4037895	5.156706	5.1703634	5.2292237
28	4.941653	4.876538	4.911504	5.098792	5.1720757	5.1611366
32	4.695328	4.983598	5.1896057	5.0464005	4.98328	3.5751305
