# Benchmark LU (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	2.051079	5.553655	2.6257954
2	3.297608	5.7395244	3.7989666
3	3.869752	5.6693254	4.7333875
4	4.522554	7.712443	4.959451
6	5.2064953	5.2470675	5.684945
8	6.263292	4.232581	6.983297
10	7.5718513	2.7753818	8.300935
12	8.464602	2.028316	9.383453
14	8.520981	1.7281373	10.678965
16	9.358742	2.0832086	11.636711
20	9.391719	1.3654158	12.727219
24	9.47098	1.0399954	13.348706
28	10.043492	0.8415603	13.27667
32	8.378127	0.80161154	8.097089
