# Benchmark LU (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	1.3085766	5.617148	1.5526214
2	2.1228673	7.191308	2.7934215
3	2.606528	2.4947157	2.8682988
4	3.2670467	8.962032	3.594044
6	3.875181	8.129147	4.388517
8	4.3771477	6.3871865	5.25315
10	4.9762826	1.1381266	6.093774
12	6.116997	0.9581829	6.888841
14	6.5287776	0.9408834	7.176839
16	6.5958495	9.321138	7.672562
20	6.1439233	1.0701737	7.37299
24	5.9758005	0.9351005	7.444805
28	5.880564	1.0344138	7.9225073
32	6.0524135	6.4063063	7.2383313
