# Benchmark LU (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	1.0205168	2.335652	2.4025044
2	1.6690141	4.417763	3.9655511
3	1.9896296	0.80838686	3.5311131
4	2.2383332	5.437247	3.7065318
6	2.6646826	4.1751294	3.7548928
8	2.8635395	2.7767057	3.4524422
10	3.0179775	0.29204118	4.1536083
12	2.811584	0.24400435	3.9772952
14	2.7979167	0.20562418	3.9002905
16	2.742682	3.8444657	3.8628955
20	2.1116352	0.2466785	3.1232557
24	1.9720999	0.21628731	2.803758
28	2.1050158	0.2234609	2.6060803
32	1.2066487	0.41916355	2.3982143
