# Benchmark LU (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	2.3283117	5.554187	2.7623525
2	4.6229343	10.126662	5.5710716
3	5.788264	11.659122	6.4981256
4	5.8009586	12.244499	5.882357
6	7.1484814	16.264675	7.8617086
8	9.210188	21.053587	10.873447
10	10.139871	22.473633	12.117272
12	11.112223	22.226372	13.068409
14	12.272027	22.37368	13.576705
16	13.548743	20.943592	14.681488
20	14.824002	16.454529	14.747313
24	16.36218	11.954105	16.824644
28	16.696537	9.722195	18.51075
32	11.826811	7.642053	18.679214
