# Benchmark LU (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	2.204234	5.5820894	2.7058005
2	3.2848182	8.233761	3.9462886
3	4.363185	10.121666	5.137239
4	4.788607	10.852962	6.132613
6	5.813296	13.641216	7.0206876
8	7.3810124	12.172123	8.096056
10	8.425194	8.681781	9.355455
12	9.463116	7.4604244	11.245902
14	10.203786	7.484364	12.235979
16	11	8.399266	13.709736
20	11.456819	5.1791353	14.231418
24	12.777092	3.4515026	14.572532
28	13.304502	2.6019635	15.43335
32	13.569071	2.269313	15.911933
